U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
45,0.23436922571035,0.00349801792224532,0.00381957180265155,-0.0508106891731964,0.0411488886258088,0.00192535233724339,2.81690373885611,3.55945652633627,6.32388090702207,0.699981734943048,1,0,0,0,0,4.84467781372758,4.15020287197561,0.0163477900889495,-0.00279836491771991,-0.0201457269385836,0.0208696843268043,-0.00936898072071883,-0.0216918657405222,231863.197302792,290022.396850213,11904.5881162592,555581.719938432,2067.54722280587
46,0.234035450851006,0.00367697836438132,0.00393250720529831,-0.0512654847385955,0.0404040798873926,0.00194259335352853,2.75610484292248,3.49086060707744,6.4609407951128,0.708196073176695,1,0,0,0,0,4.67887129585662,4.02194480884552,0.0163258653533393,-0.00264086835316775,-0.019592609082153,0.0209048459502646,-0.00958161921659354,-0.0212788757304674,230520.228458621,288149.993453764,11904.6000236193,553825.215780347,2159.16482461557
47,0.233781900227372,0.00385096352644911,0.00404742129450701,-0.0517438462381249,0.0396217823095516,0.00196031046831189,2.69788329181831,3.42499998745156,6.59197166512696,0.716275833922626,1,0,0,0,0,4.52115355372967,3.90099132126017,0.0163061634950698,-0.00248819158631291,-0.0190546231628402,0.0209407956218945,-0.00980381039407474,-0.0208841281379855,229293.322106089,286402.919543735,11904.6025282033,552325.764391321,2250.45747471866
48,0.233613681914064,0.00401870548022458,0.00416664778930538,-0.0522506126931952,0.0388009605289517,0.00198070583909383,2.642167451163,3.36165385270941,6.7170846131875,0.724292931394245,1,0,0,0,0,4.37186394901474,3.7876280123788,0.016289196096541,-0.00234010012443423,-0.0185328607522734,0.0209771455263853,-0.0100359618337292,-0.0205119628663882,228181.800705342,284769.230106954,11904.594849536,551067.068495833,2341.32311437249
49,0.233532722183088,0.00417766509514422,0.00428195466903438,-0.0527904380926907,0.0379431847805257,0.00199901369427171,2.58894675443679,3.30055450215548,6.83658922824639,0.732190576300952,1,0,0,0,0,4.23134541111532,3.68205479399899,0.0162758141126037,-0.00220165268679263,-0.0180354966457467,0.0210130273673956,-0.0102721776821971,-0.0201600808911172,227188.909259801,283232.176331587,11904.577563381,550033.724463771,2431.74424886954
50,0.233543559501193,0.0043275169089545,0.00440157809630579,-0.0533684044272056,0.0370529480811484,0.00202146845544159,2.53810691667291,3.2415591507023,6.95132166016749,0.739978496921748,1,0,0,0,0,4.09987245563259,3.58453978530385,0.0162661961773385,-0.00206905345421946,-0.0175596347003852,0.0210483448729765,-0.0105157123024879,-0.0198365403829268,226310.475737997,281785.582587466,11904.5502280928,549218.49634871,2521.92795455269
51,0.233647011604458,0.00446678918331435,0.00452228071775664,-0.0539893036738345,0.0361380296393704,0.00204666491870369,2.48959198727632,3.18447978447631,7.06235645089811,0.747642258055785,1,0,0,0,0,3.9777240390631,3.49528009988151,0.0162608245064541,-0.00194410829028114,-0.0171101486807466,0.0210825542312685,-0.0107630998515256,-0.0195422255502367,225546.115497775,280418.733542179,11904.5140132925,548616.601856606,2612.20785659555
52,0.233841674914493,0.00459364920129069,0.00463670433036614,-0.0546575626178983,0.0352090198812953,0.00207044783686809,2.44336486999087,3.12912274529531,7.1710059158529,0.75507713591779,1,0,0,0,0,3.86516882596429,3.4144400404932,0.0162602652749255,-0.00183058629709919,-0.0166946272155465,0.0211149450363877,-0.0110083294055184,-0.0192754170608449,224896.546486064,279119.949250814,11904.4710168036,548226.974138346,2703.0523150328
53,0.234132169998717,0.00470993658916015,0.00476181842236123,-0.0553784290187744,0.0342749601166169,0.00210475307778453,2.39923058477555,3.0754742222796,7.27854811725766,0.762571953843321,1,0,0,0,0,3.76237451180813,3.34232296756074,0.0162640065996124,-0.00171910931676762,-0.0163042204997929,0.0211461249689312,-0.0112597043137419,-0.0190494235485223,224351.406162169,277893.292438112,11904.420901392,548054.47574464,2794.95486117741
54,0.234373729381881,0.00485438319843684,0.00489398636402308,-0.0560597508342867,0.0333329387566697,0.00213475378999498,2.35525117290222,3.02541315439651,7.38960827260404,0.770018995519932,1,0,0,0,0,3.65085845306241,3.26183032753341,0.0162559427591432,-0.00158498021609595,-0.0158779001438368,0.0211882634885442,-0.01152950226953,-0.0187840064804949,223776.430012003,276907.858238143,11904.3655247073,548180.914826934,2889.91723582975
