U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
41,0.236916317578114,0.00232317082433886,0.00286621129001276,-0.0504813956185933,0.0366402529778018,0.00161538294376249,3.04695578963206,3.76728126969925,3.55006617647205,0.641273184762493,1,0,0,0,0,5.47699875663033,4.61908324000524,0.016247100346729,-0.00258290251390422,-0.0229835155743358,0.0202127005939663,-0.00689771950643051,-0.0234463121198941,235664.970568627,290611.176301852,11903.7408705806,544141.245063577,1007.53455355751
42,0.236410953907699,0.00244913171406442,0.00291112212980234,-0.0509897146356486,0.0357151628303172,0.00161043121141008,2.97623704643446,3.68081850676862,3.65800493851965,0.648823141146049,1,0,0,0,0,5.28305796144085,4.46193537903792,0.0162251881203793,-0.00240381209865574,-0.0224612060708239,0.020204252538651,-0.00693791989513594,-0.0229887984252618,233934.868841777,287714.705982946,11903.7325506225,540040.114824696,1063.99102161657
43,0.235968291944292,0.00257032447118362,0.00296224074230433,-0.0515080410206521,0.0347756578372751,0.00160902495832071,2.90855292182294,3.59806949318575,3.76284469385066,0.656358635356477,1,0,0,0,0,5.09586339721126,4.31045212552587,0.016204523026199,-0.00222456441272897,-0.0219404832535714,0.0201963121016942,-0.00698548623350348,-0.0225424794942844,232331.654796335,284991.467954768,11903.7182487457,536256.926096357,1120.97398065478
44,0.235592651927576,0.00268590459031775,0.00301932938936404,-0.0520409356899596,0.0338219994172453,0.00161132881761127,2.84379598257976,3.51875175194786,3.86466372628188,0.663915030346416,1,0,0,0,0,4.91584613531902,4.16508706393062,0.0161855427865238,-0.00204612690230725,-0.0214249629616425,0.0201885754197263,-0.0070400265719201,-0.0221107627589378,230853.504501566,282427.120934244,11903.6979299451,532774.76503848,1178.43757137246
45,0.235287124474461,0.00279440073767728,0.0030774877917172,-0.0525926494487632,0.0328544071810781,0.00161443980104469,2.78189515618209,3.44257293335627,3.96352979407424,0.671442284066394,1,0,0,0,0,4.74340990218579,4.02621828319113,0.0161688557717274,-0.00187196247388084,-0.0209210812069336,0.0201805175970736,-0.00709850431584654,-0.0216938333049022,229500.703998256,280005.720171524,11903.6719048731,529577.18210774,1236.33523687866
46,0.235055527523042,0.0028948122190924,0.00313646219042915,-0.0531674468939163,0.0318730689770142,0.00161862290839571,2.72275794891584,3.36928860073406,4.05954227239291,0.678911632591364,1,0,0,0,0,4.5789148751094,3.89420108504814,0.0161549278351023,-0.00170316214754666,-0.0204318942018962,0.020171789673853,-0.00716031688389377,-0.0212946071899999,228271.753079989,277714.770239445,11903.6402087557,526649.530236152,1294.63362956058
47,0.234901199926822,0.00298592819852316,0.00319464380715731,-0.0537694061455147,0.0308781384888407,0.00162327693681537,2.66630645732563,3.29866257621721,4.15279652078582,0.686272341251775,1,0,0,0,0,4.4226940593905,3.76934403063507,0.0161442799629936,-0.00154158052304764,-0.0199610909191869,0.0201619688304941,-0.00722404006209067,-0.0209149117241154,227165.840840732,275541.872477286,11903.6029998742,523977.958327364,1353.3013461674
48,0.234826745410475,0.00306614958926004,0.00324799752870272,-0.0544023628969722,0.0298697540613478,0.00162623203561365,2.61248493593909,3.23045675004459,4.24337832381126,0.693398779209694,1,0,0,0,0,4.27506029736785,3.65190623377197,0.0161375432604236,-0.00139043652971855,-0.0195137039014085,0.0201504912349606,-0.00728679149658042,-0.0205548252272704,226183.392874452,273473.915086051,11903.5606401865,521549.122054809,1412.3067814955
49,0.234836909851143,0.00313529764540826,0.00330261539056451,-0.0550704613570967,0.0288480347856079,0.00163204681797642,2.56117444033166,3.16452003439916,4.33141928607964,0.700423327732216,1,0,0,0,0,4.1362709978965,3.54218005694017,0.0161349364009303,-0.00124753756555794,-0.0190878112383209,0.020137301943388,-0.00735137440061941,-0.0202206589454882,225320.270844725,271504.747842478,11903.5128253636,519352.332099423,1471.63777877962
50,0.23493790538198,0.00319434064048977,0.00337083622799363,-0.0557780717401137,0.0278130862614108,0.00164937227682778,2.5122120622393,3.10076713760023,4.41707500713397,0.707763962915043,1,0,0,0,0,4.00653301980996,3.44048276849575,0.016136341260151,-0.00110719184864896,-0.0186771640055944,0.0201227519694312,-0.00742433166938687,-0.0199224573431266,224569.088074579,269633.380118537,11903.4588533924,517379.003887905,1531.29525605182
51,0.235127379848044,0.00323879195100864,0.00342893718407028,-0.0565277780906371,0.0267650065747636,0.00166309267591879,2.46569026666265,3.03885720660558,4.50032887541243,0.7149689872125,1,0,0,0,0,3.88614705113025,3.34687819418925,0.0161432388947428,-0.000983408324252103,-0.0182990832035269,0.0201052104083746,-0.00749137111345263,-0.0196472684937296,223939.716515895,267836.559348453,11903.4005735294,515614.698574697,1591.21996939129
52,0.235408035461556,0.00326744900440288,0.00347591152652091,-0.0573230417528862,0.0257038856136207,0.00167311339244307,2.42155141121358,2.97862451231674,4.58126560041857,0.722039206385418,1,0,0,0,0,3.77532346129658,3.26155688047373,0.0161561665601796,-0.000877965717484064,-0.0179556358869325,0.0200842149749401,-0.00755107957588071,-0.019396410427133,223431.605158392,266105.67650453,11903.338297487,514049.724250705,1651.39136677706
53,0.235784902630339,0.0032808695285542,0.00352048645992933,-0.0581677327243916,0.0246298104753115,0.00168570737540281,2.3796672827631,2.91999349382375,4.66000775642153,0.729072918789005,1,0,0,0,0,3.67421167644798,3.1847721044462,0.0161751534524888,-0.000787193394451528,-0.0176422946525396,0.0200599186776101,-0.00760785906372485,-0.0191771751998847,223039.199585847,264439.483577794,11903.2717138465,512677.007223112,1711.80644013203
54,0.236127233847818,0.00330797397671505,0.00357535155712983,-0.0589740428522489,0.0235326190040936,0.00170135064138083,2.33843978706532,2.86451916386814,4.74050621098829,0.736113292051599,1,0,0,0,0,3.56571200408005,3.09961526012933,0.0161869328281703,-0.000685804424567419,-0.0172889128974086,0.0200421932553475,-0.00767826714327185,-0.018922578432793,222652.807127406,262970.884123662,11903.2001243491,511543.101980583,1774.01439076102
55,0.236484042450976,0.0033329565882981,0.00363252355875918,-0.0597743326752151,0.0224124866990566,0.00171878365663935,2.29880634535905,2.81101019231424,4.82068899054304,0.743142662815309,1,0,0,0,0,3.45561901076005,3.01272009413714,0.0161996560979559,-0.000587643959431781,-0.0169207516317944,0.0200242279288843,-0.00775232849529098,-0.0186575668777177,222340.934268274,261605.081664429,11903.124172973,510610.097647112,1837.20094996021
