U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
46,0.229449587460383,0.000675771323514495,0.00134615012834481,-0.0435531019230732,-0.00247347600695206,0.000658063435458295,2.35706627317346,2.72024364730569,1,0,0,0,0,0,0,3.8585751592633,3.17690957343567,0.0167281339936087,-0.00426655901569267,-0.017636704406898,0.0194052059047545,-0.00618722673247712,-0.0172419920574725,247014.089299149,274865.709434319,11902.0981993987,533781.896932866
47,0.23005117333745,0.000645736964270762,0.001321874261341,-0.0442292225300426,-0.00485352237299014,0.000634542890432426,2.31436579457915,2.6589370901866,1,0,0,0,0,0,0,3.73320891565778,3.06982263482064,0.0167785643200164,-0.00433662125395633,-0.0172129655079886,0.0193734422641649,-0.00624045138322433,-0.0168319472568329,246718.4545696,273160.383584625,11902.1350561806,531780.973210405
48,0.23074778958341,0.000609550261292333,0.00129590812094294,-0.0449387131065234,-0.00726575336223213,0.00061146602702696,2.27368140147322,2.59996028088743,1,0,0,0,0,0,0,3.61497178861771,2.96910620381506,0.0168329689042685,-0.00442223999927732,-0.0168071596332874,0.0193418166859024,-0.0062996243509296,-0.0164393012938844,246520.578377935,271575.018863978,11902.1965869035,529997.793828817
49,0.231542177412041,0.000567740202085889,0.00126811360531716,-0.0456845048274031,-0.00970988454313154,0.000588786677710758,2.23489847914195,2.54318616922818,1,0,0,0,0,0,0,3.50400857962059,2.87503679452394,0.0168913681331332,-0.00452383906480119,-0.016420804731412,0.0193104377823453,-0.00636514206813381,-0.0160655467428799,246416.297551348,270104.652285552,11902.286501148,528423.236338048
50,0.232436955247635,0.000520922119684708,0.00123835044391657,-0.0464694401627188,-0.0121856618369663,0.000566429570998855,2.19790690182238,2.48850045679648,1,0,0,0,0,0,0,3.40044143165961,2.78787761301086,0.0169537501859258,-0.00464177722603566,-0.0160552453207061,0.0192794414698295,-0.00643746415890641,-0.0157120093266377,246401.496664054,268744.967532945,11902.4087666164,527048.872963616
51,0.23343462659338,0.000469791565601869,0.00120647757474554,-0.0472962756228431,-0.0146928529429924,0.000544291534726256,2.16260100409318,2.43580015396484,1,0,0,0,0,0,0,3.30437174560856,2.70788048212639,0.0170200736195774,-0.0047763482255951,-0.0157116630583464,0.0192489885690641,-0.00651711468367879,-0.0153798577752964,246472.124107122,267492.208997864,11902.5676154426,525866.900720429
52,0.234537587015451,0.000415116535947242,0.00117235460573771,-0.0481676843613816,-0.017231240424191,0.000522243665342786,2.1288795824236,2.38499225563392,1,0,0,0,0,0,0,3.21588201454197,2.63528736472302,0.0170902702930382,-0.0049277818880249,-0.0153910868841063,0.019219262046976,-0.00660468192238024,-0.0150701130659479,246624.208697947,266343.102283068,11902.7675499949,524870.078531009
53,0.235748130533501,0.000357728332810077,0.00113584333953955,-0.0490862586579619,-0.0198006164248933,0.000500134418435507,2.0966459130782,2.33599253192292,1,0,0,0,0,0,0,3.13503759766101,2.57033152418989,0.0171642485387294,-0.00509624631289971,-0.0150944027322467,0.0191904640055811,-0.00670081679737288,-0.014783657044027,246853.876145026,265294.78138138,11903.0133482617,524051.670874668
54,0.236986707629543,0.000303577195415844,0.00110294991736258,-0.0500002242236264,-0.0224252905022712,0.000479865616078998,2.06527421537058,2.2893927499265,1,0,0,0,0,0,0,3.0511031608297,2.50059770242066,0.0172354498472637,-0.00527398423935845,-0.0147743145056285,0.0191668653128599,-0.00681014200634206,-0.0144736191751952,247116.205917796,264396.689641998,11903.3129252634,523416.208485057
55,0.238255434601618,0.000251835709596603,0.00107163366672888,-0.0509108019558513,-0.0251048431943135,0.000460490957193562,2.03492173145962,2.24486694537325,1,0,0,0,0,0,0,2.96385986999577,2.4267814222892,0.0173056997746218,-0.00546278236750632,-0.0144317433295863,0.0191467769466384,-0.00693167342709578,-0.014141123999851,247425.338869044,263625.810178772,11903.672845633,522954.821893449
