U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
43,0.216335999208055,0.00223980758970665,0.00228040914947114,-0.0314943878675363,0.0366687066451303,0.000867036054598819,2.40576442407148,2.98879775862926,0.0825229111956686,1,0,0,0,0,4.22251957524064,3.57790557746624,0.0156823742710007,-0.00842259892858607,-0.0157809975079582,0.0197575801528283,-0.0125147034037244,-0.0164392555010489,241777.407800902,286251.904836938,13741.2783873822,541770.591025222
44,0.215892713296725,0.0023548897357476,0.00228073135136372,-0.0317109264302199,0.0358424990577881,0.000829313180450864,2.35068108491914,2.92342950905417,0.0836217851149426,1,0,0,0,0,4.07198233660912,3.4575509209115,0.0156533050648323,-0.00843150851334892,-0.0152691993583584,0.0197542702038016,-0.0127055772325178,-0.0159562795316164,240775.084376084,284480.340008751,13815.0854494075,539070.509834242
45,0.215520565862958,0.00246268070734636,0.00227841548087183,-0.0319629020214671,0.034976291700664,0.000790828692941138,2.29820246452358,2.86068682128495,0.0842457298073593,1,0,0,0,0,3.92796767092784,3.34270553633511,0.0156276183240714,-0.00843368274072802,-0.0147806520955422,0.0197507640682713,-0.0128849936221318,-0.015493320377267,239896.556959889,282832.738876181,13887.337963971,536616.633800042
46,0.215203052479618,0.0025659913291876,0.00227578653566434,-0.0322392460385746,0.0341232803795256,0.000752536233641243,2.2480100612667,2.80050426335998,0.084931580218148,1,0,0,0,0,3.79060661041626,3.23373795295686,0.0156036863051993,-0.00843379583047545,-0.0143128186166516,0.0197474356005966,-0.0130619605434529,-0.0150509366756769,239124.04780963,281310.359045753,13961.7634332639,534396.170288646
47,0.214949807049644,0.00266244206210485,0.00227183908617197,-0.0325490030348268,0.0332662306060863,0.000714535482670435,2.2001139379912,2.74261741474151,0.0855018766079046,1,0,0,0,0,3.66020777115481,3.13084532818972,0.0155827999141001,-0.00843075352966538,-0.0138700106562087,0.019743577866996,-0.0132316816042705,-0.0146321724844864,238462.457013988,279897.660086376,14037.106148109,532397.223248473
48,0.214774768815202,0.00274836408703057,0.00226500866952856,-0.0329052582368033,0.0323797859409122,0.000676974483620394,2.15459426871401,2.68673083550602,0.0857008000279006,1,0,0,0,0,3.53710624963903,3.0341572724581,0.0155669021720327,-0.00842256321769227,-0.0134577624069928,0.0197381385143938,-0.0133863981466926,-0.0142406410094858,237921.180903892,278575.957520039,14111.5724107136,530608.710834645
49,0.214652208321064,0.00282889848358456,0.00225864855846888,-0.0332881410301378,0.0315318598152072,0.000640781645241439,2.1110276895336,2.63290816248121,0.0862000204923841,1,0,0,0,0,3.42128564957435,2.94404036913284,0.015553124381974,-0.00841616212099515,-0.0130700186557749,0.0197320889195365,-0.0135408043189219,-0.0138746999062469,237474.474023343,277355.979438969,14189.8657452541,529020.319207566
50,0.214600723326847,0.00289929658553443,0.00225053324754312,-0.0337142839193726,0.0306841811963933,0.000605978803599916,2.06956810518468,2.5808362906304,0.0866138611547736,1,0,0,0,0,3.31308667796755,2.86055328906895,0.0155439951366331,-0.00840869334939787,-0.0127132584651004,0.019724122704805,-0.0136844549086701,-0.0135381087536721,237136.369108927,276216.775814463,14269.284168901,527622.429092291
51,0.214646925913155,0.00295228524864085,0.0022374224765189,-0.0342082978180235,0.0297860319817151,0.00057277270458881,2.03049315554278,2.53012635499315,0.0864297838881959,1,0,0,0,0,3.21292259618546,2.7836569237173,0.0155433320788758,-0.00839567438279588,-0.0123964849980986,0.0197122116778131,-0.0138011263129444,-0.0132360502502327,236929.140688302,275130.576740102,14346.3491469812,526406.066575385
52,0.214770654177773,0.00299179462088241,0.00222184188727752,-0.0347544620703386,0.028889496389541,0.00054189878557734,1.99346706086842,2.48082547929327,0.0861561533250614,1,0,0,0,0,3.12077453859734,2.71364160150492,0.0155489586090086,-0.00838306588537486,-0.0121146813310137,0.0196970296231334,-0.0139023208147227,-0.0129669808468179,236832.550787733,274105.745057165,14424.659513848,525362.955358747
53,0.214871671989605,0.00304300894494742,0.00221609791628757,-0.0352633970802482,0.0282001727810872,0.000513865556748538,1.95707082525072,2.43375710902901,0.0878734749106715,1,0,0,0,0,3.03584540631285,2.65144731255927,0.0155475100644423,-0.00839428683926654,-0.0118379083593756,0.0196847981543436,-0.0140508116604584,-0.0127160888007166,236751.558261113,273215.594275267,14517.9357579783,524485.088294358
