iter	Passed	Remaining
1048	15544	14091
1049	15560	14078
1050	15569	14058
1051	15581	14040
1052	15593	14023
1053	15601	14003
1054	15610	13983
1055	15619	13963
1056	15628	13943
1057	15637	13922
1058	15649	13905
1059	15660	13887
1060	15674	13871
1061	15682	13851
1062	15693	13833
1063	15723	13832
1064	15740	13819
1065	15764	13812
1066	15777	13796
1067	15786	13776
1068	15797	13758
1069	15807	13739
1070	15816	13719
1071	15829	13703
1072	15872	13712
1073	15892	13702
1074	15921	13700
1075	15937	13685
1076	15962	13679
1077	15974	13662
1078	15984	13643
1079	15992	13623
1080	16008	13609
1081	16019	13591
1082	16028	13572
1083	16041	13555
1084	16052	13537
1085	16065	13520
1086	16073	13500
1087	16087	13484
1088	16103	13471
1089	16129	13466
1090	16138	13446
1091	16150	13428
1092	16165	13414
1093	16174	13394
1094	16183	13375
1095	16202	13364
1096	16218	13350
1097	16227	13330
1098	16236	13310
1099	16244	13291
1100	16253	13271
1101	16261	13251
1102	16269	13231
1103	16302	13230
1104	16328	13225
1105	16353	13218
1106	16383	13216
1107	16397	13200
1108	16418	13191
1109	16428	13172
1110	16436	13152
1111	16449	13135
1112	16460	13117
1113	16486	13112
1114	16511	13105
1115	16537	13099
1116	16555	13087
1117	16568	13071
1118	16577	13051
1119	16590	13035
1120	16599	13015
1121	16610	12998
1122	16621	12980
1123	16631	12961
1124	16639	12941
1125	16652	12925
1126	16661	12906
1127	16672	12888
1128	16682	12870
1129	16695	12854
1130	16704	12834
1131	16720	12820
1132	16738	12808
1133	16754	12795
1134	16765	12777
1135	16774	12757
1136	16782	12738
1137	16791	12718
1138	16803	12702
1139	16815	12685
1140	16827	12668
1141	16854	12662
1142	16877	12654
1143	16889	12637
1144	16898	12618
1145	16921	12610
1146	16946	12602
1147	16969	12594
1148	16979	12575
1149	16987	12555
1150	16999	12539
1151	17014	12524
1152	17025	12506
1153	17038	12491
1154	17051	12474
1155	17060	12456
1156	17070	12437
1157	17088	12425
1158	17102	12410
1159	17116	12394
1160	17155	12397
1161	17172	12383
1162	17193	12374
1163	17211	12361
1164	17221	12343
1165	17230	12324
1166	17242	12307
1167	17250	12288
1168	17276	12281
1169	17296	12269
1170	17318	12260
1171	17331	12244
1172	17348	12231
1173	17362	12215
1174	17380	12203
1175	17392	12186
1176	17406	12171
1177	17414	12152
1178	17423	12133
1179	17432	12114
1180	17441	12095
1181	17450	12076
1182	17459	12057
1183	17472	12041
1184	17480	12022
1185	17492	12006
1186	17502	11987
1187	17514	11971
1188	17524	11952
1189	17533	11934
1190	17542	11915
1191	17571	11910
1192	17588	11897
1193	17597	11879
1194	17615	11866
1195	17627	11849
1196	17639	11833
1197	17648	11815
1198	17657	11796
1199	17670	11780
1200	17681	11762
1201	17689	11743
1202	17699	11725
1203	17713	11710
1204	17722	11692
1205	17731	11674
1206	17740	11655
1207	17752	11639
1208	17765	11623
1209	17781	11609
1210	17808	11602
1211	17859	11611
1212	17873	11596
1213	17887	11581
1214	17900	11565
1215	17909	11547
1216	17919	11529
1217	17929	11511
1218	17938	11492
1219	17946	11474
1220	17957	11456
1221	17968	11439
1222	17976	11421
1223	17999	11411
1224	18013	11396
1225	18030	11383
1226	18041	11366
1227	18050	11348
1228	18061	11330
1229	18071	11313
1230	18083	11296
1231	18096	11280
1232	18106	11263
1233	18121	11249
1234	18136	11234
1235	18144	11215
1236	18157	11199
1237	18170	11184
1238	18178	11165
1239	18189	11148
1240	18210	11137
1241	18234	11128
1242	18247	11112
1243	18265	11099
1244	18316	11107
1245	18352	11105
1246	18378	11097
1247	18391	11081
1248	18401	11064
1249	18428	11057
1250	18448	11045
1251	18459	11028
1252	18477	11015
1253	18493	11001
1254	18502	10983
1255	18511	10965
1256	18523	10948
1257	18532	10930
1258	18541	10912
1259	18549	10894
1260	18561	10877
1261	18570	10859
1262	18579	10841
1263	18591	10825
1264	18600	10807
1265	18608	10789
1266	18621	10772
1267	18636	10758
1268	18656	10747
1269	18668	10730
1270	18694	10722
1271	18703	10704
1272	18712	10686
1273	18728	10672
1274	18739	10655
1275	18747	10637
1276	18760	10621
1277	18774	10606
1278	18783	10588
1279	18794	10571
1280	18807	10556
1281	18819	10539
1282	18827	10521
1283	18884	10530
1284	18908	10521
1285	18919	10504
1286	18932	10488
1287	18942	10471
1288	18954	10455
1289	18971	10441
1290	18983	10425
1291	18993	10407
1292	19005	10392
1293	19017	10375
1294	19027	10358
1295	19038	10341
1296	19049	10325
1297	19060	10308
1298	19068	10290
1299	19086	10277
1300	19108	10266
1301	19117	10248
1302	19134	10235
1303	19144	10218
1304	19154	10201
1305	19166	10184
1306	19175	10167
1307	19183	10148
1308	19191	10131
1309	19202	10114
1310	19212	10097
1311	19222	10079
1312	19231	10062
1313	19240	10044
1314	19248	10026
1315	19257	10009
1316	19266	9991
1317	19283	9978
1318	19336	9983
1319	19377	9982
1320	19446	9995
1321	19465	9982
1322	19479	9968
1323	19497	9955
1324	19519	9943
1325	19530	9927
1326	19548	9914
1327	19566	9901
1328	19574	9883
1329	19583	9865
1330	19596	9849
1331	19606	9832
1332	19616	9815
1333	19625	9797
1334	19636	9781
1335	19646	9764
1336	19654	9746
1337	19664	9729
1338	19679	9714
1339	19693	9699
1340	19721	9691
1341	19738	9678
1342	19755	9664
1343	19764	9646
1344	19773	9629
1345	19781	9611
1346	19790	9593
1347	19798	9575
1348	19806	9558
1349	19814	9540
1350	19823	9522
1351	19831	9505
1352	19840	9487
1353	19849	9470
1354	19891	9468
1355	19904	9453
1356	19923	9440
1357	19943	9428
1358	19960	9414
1359	19973	9399
1360	19987	9384
1361	20002	9369
1362	20011	9352
1363	20021	9335
1364	20034	9319
1365	20042	9302
1366	20054	9286
1367	20065	9270
1368	20081	9256
1369	20093	9239
1370	20103	9223
1371	20119	9209
1372	20167	9209
1373	20183	9195
1374	20199	9181
1375	20217	9168
1376	20229	9152
1377	20247	9139
1378	20259	9123
1379	20272	9107
1380	20288	9093
1381	20302	9079
1382	20388	9095
1383	20416	9087
1384	20430	9071
1385	20442	9056
1386	20455	9040
1387	20468	9024
1388	20484	9010
1389	20500	8996
1390	20513	8981
1391	20531	8967
1392	20544	8952
1393	20556	8936
1394	20574	8923
1395	20588	8907
1396	20649	8913
1397	20671	8901
1398	20688	8887
1399	20701	8871
1400	20715	8857
1401	20736	8844
1402	20757	8832
1403	20778	8820
1404	20834	8823
1405	20858	8812
1406	20876	8798
1407	20946	8806
1408	20969	8795
1409	20981	8779
1410	20995	8764
1411	21014	8751
1412	21027	8735
1413	21056	8726
1414	21079	8714
1415	21120	8710
1416	21145	8699
1417	21158	8684
1418	21174	8669
1419	21189	8654
1420	21205	8640
1421	21221	8625
1422	21234	8610
1423	21250	8595
1424	21285	8589
1425	21312	8578
1426	21325	8562
1427	21341	8548
1428	21420	8559
1429	21440	8546
1430	21463	8534
1431	21477	8518
1432	21518	8514
1433	21544	8503
1434	21560	8489
1435	21573	8473
1436	21586	8457
1437	21602	8442
1438	21615	8426
1439	21627	8410
1440	21641	8395
1441	21655	8379
1442	21668	8363
1443	21681	8348
1444	21696	8333
1445	21712	8318
1446	21752	8313
1447	21777	8301
1448	21793	8287
1449	21805	8271
1450	21823	8257
1451	21835	8241
1452	21848	8225
1453	21866	8211
1454	21879	8195
1455	21908	8185
1456	22041	8214
1457	22056	8199
1458	22079	8186
1459	22093	8171
1460	22116	8159
1461	22132	8144
1462	22147	8129
1463	22162	8114
1464	22178	8099
1465	22192	8083
1466	22209	8069
1467	22226	8054
1468	22260	8046
1469	22292	8037
1470	22314	8024
1471	22331	8010
1472	22352	7997
1473	22386	7988
1474	22493	8006
1475	22563	8010
1476	22590	7999
1477	22610	7985
1478	22634	7973
1479	22650	7958
1480	22669	7944
1481	22688	7930
1482	22794	7946
1483	22834	7939
1484	22898	7941
1485	22959	7941
1486	23169	7993
1487	23190	7979
1488	23213	7966
1489	23235	7953
1490	23258	7940
1491	23277	7925
1492	23293	7910
1493	23309	7894
1494	23330	7880
1495	23345	7864
1496	23360	7849
1497	23401	7842
1498	23430	7831
1499	23446	7815
1500	23465	7801
1501	23482	7785
1502	23497	7769
1503	23601	7783
1504	23669	7784
1505	23692	7771
1506	23711	7756
1507	23740	7745
1508	23766	7733
1509	23781	7717
1510	23823	7709
1511	23853	7698
1512	23868	7682
1513	23888	7668
1514	23901	7651
1515	23916	7635
1516	23931	7619
1517	23943	7602
1518	23956	7585
1519	23968	7569
1520	23981	7552
1521	23993	7535
1522	24007	7519
1523	24024	7503
1524	24104	7507
1525	24133	7496
1526	24146	7479
1527	24165	7464
1528	24179	7448
1529	24195	7432
1530	24210	7416
1531	24223	7399
1532	24266	7392
1533	24296	7380
1534	24308	7363
1535	24326	7348
1536	24339	7331
1537	24351	7314
1538	24367	7299
1539	24382	7283
1540	24394	7266
1541	24411	7250
1542	24428	7235
1543	24463	7224
1544	24488	7211
1545	24505	7196
1546	24518	7179
1547	24583	7178
1548	24597	7161
1549	24612	7145
1550	24625	7128
1551	24659	7118
1552	24680	7103
1553	24692	7086
1554	24705	7069
1555	24722	7054
1556	24738	7038
1557	24751	7021
1558	24769	7006
1559	24783	6990
1560	24800	6974
1561	24825	6961
1562	24895	6960
1563	24911	6944
1564	24932	6930
1565	24946	6913
1566	24964	6898
1567	24980	6882
1568	24993	6865
1569	25014	6851
1570	25046	6839
1571	25076	6827
1572	25131	6822
1573	25156	6808
1574	25169	6791
1575	25180	6774
1576	25193	6757
1577	25207	6741
1578	25219	6724
1579	25231	6707
1580	25244	6690
